"id","username","date","status"
823198286131576832","GARUDA_AHY","2017/1/22","RT @lj_ican: Bang @cubby_ghum @abaah @AgusFansClub_ @SohibAHY @GARUDA_AHY @karib_ahy @ZaraZettiraZZ Ibu @dewkemalahayati @agussylviDKI http…"
823198272671993857","WILQLO_clothing","2017/1/22","RT @KawanuaProAhok: Ya Allah Tuhan YME Ini 5 Proyek Hoax SBY Pepo AHY - https://t.co/tJAt4QpRA9 https://t.co/ynLzgWqmnr"
823198228023635968","Joko_Sangkrib","2017/1/22","RT @habibthink: 50% yang tidak tamat SD memilih AHY. Berdasarkan hasil survei populi center. https://t.co/ciCwDwXRSV"
823198075539914754","dgdrgd32_rere","2017/1/22","دكتور هايج يمارس الجنس مع مريضة مثيرة   لمشاهد الفيلم وتحميل اطغط هنا  https://t.co/LKjO3VzyrS  https://t.co/5jkUE3M4iB ahy"
823198073782411265","GARUDA_AHY","2017/1/22","Retweeted haris wijaya (@hariswijaya1975):

AGUSSYLVI NO.1 #jakartauntukrakyat @SBYudhoyono @hincapandjaitan... https://t.co/n1qcuZISoF"
823198063598542848","GARUDA_AHY","2017/1/22","RT @hariswijaya1975: AGUSSYLVI NO.1 #jakartauntukrakyat @SBYudhoyono @hincapandjaitan @AntonSurattoTV @subekti_rinto @PDemokrat @MuhamadHar…"
823197992039501824","AlfatihHs","2017/1/22","RT @agussylviDKI: Tweeps minggu pagi ini biasanya beraktivitas apa? Kalau bagi AHY harus diisi kegiatan positif seperti senam pagi bersama…"
823197984737198080","AlfatihHs","2017/1/22","RT @agussylviDKI: Menurut AHY olahraga seperti senam pagi tidak hanya untuk kesehatan tapi juga interaksi dan menambah kebahagiaan warga."
823197961182003200","cubby_ghum","2017/1/22","RT @lj_ican: Bang @cubby_ghum @abaah @AgusFansClub_ @SohibAHY @GARUDA_AHY @karib_ahy @ZaraZettiraZZ Ibu @dewkemalahayati @agussylviDKI http…"
823197930731413504","RidwanaSp","2017/1/22","RT @habibthink: 50% yang tidak tamat SD memilih AHY. Berdasarkan hasil survei populi center. https://t.co/ciCwDwXRSV"
823197888188530688","Bastiandws","2017/1/22","RT @GARUDA_AHY: Retweeted David Ridwan Betz (@davidridwanbetz):

Tak disangka dan tak diduga kalau kasus BANSOS PEMPROV DKI JKT... https://…"
823197830760124416","tadnaloy","2017/1/22","menurut AHY silvyperayaan natal itu joget dangdut sambil kampanye imlek itu dirayain di monas dan tidak menggusur itu mengapungkan. ehehe"
823197807007789056","didiklpambudi","2017/1/22","RT @didiklpambudi: Atasi Masalah @AgusYudhoyono Tawarkan Solusi Berbasis IT https://t.co/4goDo0E4S8 @SBYudhoyono @hincapandjaitan @Edhie_B…"
823197794068414465","didiklpambudi","2017/1/22","RT @didiklpambudi: Cara @AgusYudhoyono Gaet Pemilih Pemula https://t.co/KWIcLsBDWU @SBYudhoyono @hincapandjaitan @Edhie_Baskoro @PDemokrat…"
823197781472854016","didiklpambudi","2017/1/22","RT @didiklpambudi: @AgusYudhoyono Bangun 100 Kedai Jakarta dengan Bertahap https://t.co/wjOrnYOgV2 @SBYudhoyono @hincapandjaitan @Edhie_Bas…"
823197760488816640","didiklpambudi","2017/1/22","RT @didiklpambudi: Gerilya di Cibubur @AgusYudhoyono Disambut Kuda Lumping https://t.co/VGxWP2aFCx @SBYudhoyono @hincapandjaitan @Edhie_Ba…"
823197648387571712","bang74ck89","2017/1/22","RT @habibthink: 50% yang tidak tamat SD memilih AHY. Berdasarkan hasil survei populi center. https://t.co/ciCwDwXRSV"
823197618901839873","ichiewahyudi","2017/1/22","RT @panca66: Gue bingung orang kayak @gm_gm nyebarin hoax yg mrk ciptakan sendiri. AHY dituduh larang wayang 😁😁😁😁 https://t.co/pI2271KQBc"
823197567408164864","gothemyusuf","2017/1/22","RT @sunar_wr: Lagi Kali Ini Andi Arief Tuduh Jokowi Jegal AHY-Sylvi dan Minta Bu Iriana Diperiksa - Chirpstory https://t.co/7X3wKai1dZ cc…"
823197563985633281","Cattie_Kiss","2017/1/22","@kwenibeh ahy sige2. Huo hehe"
823197384876310528","AlfatihHs","2017/1/22","RT @kpk_demokrat: Gerilya Cinta AHY Cibubur jakTim ratusan rakyat menyambut @AgussylviDKI @AgusYudhoyono @sylviana_murni #JakartaUntukRak…"
823197303552905218","ichiewahyudi","2017/1/22","RT @Juang_Modjo: Hehehe udh dhapus sama habibthink tuit yg dia nyepin spanduk habib Rizieq dukung AHY.  Fitnah ada expirednya toh 😊😊😊 https…"
823197267486068736","didiklpambudi","2017/1/22","Atasi Masalah @AgusYudhoyono Tawarkan Solusi Berbasis IT https://t.co/4goDo0E4S8 @SBYudhoyono @hincapandjaitan @Edhie_Baskoro @PDemokrat"
823197139169705988","BelmanMTsirait","2017/1/22","RT @GunRomli: Kocak! Ini Video Momen Sylvi Larang Salam 2 Jari - https://t.co/K4gPSFma8z"
823197090222374912","MyheroFStoessel","2017/1/22","@FranStoessel_ q estabas mirando ahy todo concentrado??😏😌❤😍☺ https://t.co/H58InUNFHH"
823197028071026689","AlfatihHs","2017/1/22","RT @AYOJakarta2017: Kemenangan AHY kemenangan warga Jakarta. All For One https://t.co/aQ2bUIWHIq"
